Time,ECG
0.0,-1.0
0.002,-0.5
0.004,-0.2
0.006,-0.6
0.008,-0.8
0.01,-1.1
0.012,-1.9
0.014,-1.4
0.016,-0.5
0.018000000000000002,-0.6
0.02,-0.8
0.022,-0.1
0.024,-0.3
0.026000000000000002,-0.9
0.028,-1.0
0.03,-1.0
0.032,-1.2
0.034,-1.1
0.036000000000000004,-0.6
0.038,-0.9
0.04,-0.4
0.042,-0.1
0.044,-1.1
0.046,-1.1
0.048,-1.0
0.05,-0.4
0.052000000000000005,-0.8
0.054,-0.4
0.056,-0.4
0.058,-0.4
0.06,-0.9
0.062,-0.2
0.064,-0.4
0.066,-0.8
0.068,-0.8
0.07,-1.0
0.07200000000000001,-1.5
0.074,-1.2
0.076,-0.7
0.078,-0.6
0.08,-0.8
0.082,-0.2
0.084,-0.3
0.08600000000000001,-0.4
0.088,-0.4
0.09,-0.6
0.092,-1.3
0.094,-1.2
0.096,-1.0
0.098,-1.4
0.1,-0.8
0.10200000000000001,-0.5
0.10400000000000001,-0.7
0.106,-0.7
0.108,-0.5
0.11,-0.9
0.112,-1.2
0.114,-1.2
0.116,-0.4
0.11800000000000001,-0.4
0.12,-0.4
0.122,-0.7
0.124,-1.0
0.126,-0.5
0.128,-0.7
0.13,-0.7
0.132,-0.9
0.134,-1.0
0.136,-1.0
0.138,-0.7
0.14,-0.6
0.14200000000000002,-0.6
0.14400000000000002,-0.9
0.146,-1.0
0.148,-0.6
0.15,-0.8
0.152,-0.8
0.154,-0.8
0.156,-0.9
0.158,-1.4
0.16,-0.7
0.162,-0.9
0.164,-0.7
0.166,-1.1
0.168,-1.0
0.17,-1.2
0.17200000000000001,-0.9
0.17400000000000002,-0.8
0.176,-0.9
0.178,-1.2
0.18,0.1
0.182,-0.3
0.184,-1.2
0.186,-1.2
0.188,-1.4
0.19,-1.5
0.192,-1.2
0.194,-1.0
0.196,-0.7
0.198,-0.7
0.2,0.0
0.202,-0.1
0.20400000000000001,-0.6
0.20600000000000002,-0.8
0.20800000000000002,-0.5
0.21,-1.3
0.212,-1.3
0.214,-1.1
0.216,-1.1
0.218,-1.0
0.22,-0.4
0.222,0.0
0.224,0.3
0.226,0.0
0.228,-0.7
0.23,-1.5
0.232,-1.4
0.234,-1.1
0.23600000000000002,-0.8
0.23800000000000002,-1.1
0.24,-1.0
0.242,-1.0
0.244,-1.0
0.246,-1.2
0.248,-0.5
0.25,-0.9
0.252,-0.5
0.254,-0.4
0.256,-0.6
0.258,-0.8
0.26,-0.2
0.262,-0.4
0.264,-0.5
0.266,-0.4
0.268,-0.3
0.27,-0.6
0.272,-0.4
0.274,-0.1
0.276,-0.2
0.278,0.1
0.28,0.5
0.28200000000000003,-0.1
0.28400000000000003,-0.1
0.28600000000000003,-0.3
0.28800000000000003,-0.3
0.29,-0.6
0.292,-0.1
0.294,0.0
0.296,-0.2
0.298,-0.1
0.3,0.2
0.302,0.3
0.304,0.1
0.306,-0.3
0.308,-0.2
0.31,-0.7
0.312,-0.8
0.314,-0.7
0.316,-0.7
0.318,-0.7
0.32,-0.3
0.322,-0.6
0.324,-0.8
0.326,-1.3
0.328,-1.0
0.33,-1.0
0.332,-1.4
0.334,-1.2
0.336,-1.2
0.338,-1.1
0.34,-0.7
0.342,-1.2
0.34400000000000003,-1.4
0.34600000000000003,-1.1
0.34800000000000003,-1.0
0.35000000000000003,-0.9
0.352,-0.3
0.354,-1.2
0.356,-1.2
0.358,-1.1
0.36,-1.1
0.362,-1.1
0.364,-1.4
0.366,-1.2
0.368,-1.4
0.37,-1.2
0.372,-1.0
0.374,-1.0
0.376,-1.3
0.378,-1.4
0.38,-1.0
0.382,-0.5
0.384,-0.9
0.386,-1.1
0.388,-1.4
0.39,-2.1
0.392,-2.2
0.394,-2.2
0.396,-2.3
0.398,-1.9
0.4,-1.9
0.402,-2.5
0.404,-2.8
0.406,-2.2
0.40800000000000003,-1.9
0.41000000000000003,-0.6
0.41200000000000003,1.4
0.41400000000000003,3.2
0.41600000000000004,4.7
0.418,6.2
0.42,7.8
0.422,8.8
0.424,8.9
0.426,8.3
0.428,6.9
0.43,4.8
0.432,5.4
0.434,5.4
0.436,3.4
0.438,2.0
0.44,-0.7
0.442,-3.5
0.444,-3.9
0.446,-3.5
0.448,-3.8
0.45,-3.8
0.452,-3.3
0.454,-3.1
0.456,-3.0
0.458,-2.3
0.46,-2.1
0.462,-1.7
0.464,-1.5
0.466,-1.6
0.468,-2.0
0.47000000000000003,-1.1
0.47200000000000003,-1.1
0.47400000000000003,-0.6
0.47600000000000003,-0.9
0.47800000000000004,-0.3
0.48,-0.6
0.482,-0.8
0.484,-0.9
0.486,-0.8
0.488,-1.2
0.49,-0.8
0.492,-0.4
0.494,0.1
0.496,-0.2
0.498,-0.1
0.5,0.0
0.502,-0.5
0.504,-0.5
0.506,-0.5
0.508,-0.8
0.51,-0.4
0.512,-0.2
0.514,-0.3
0.516,-0.6
0.518,0.3
0.52,-0.3
0.522,-0.3
0.524,-0.6
0.526,-0.3
0.528,-0.7
0.53,-0.7
0.532,-0.1
0.534,0.1
0.536,0.0
0.538,0.6
0.54,0.4
0.542,0.0
0.544,-0.3
0.546,0.5
0.548,-0.3
0.55,-0.1
0.552,-0.1
0.554,0.0
0.556,-0.2
0.558,1.0
0.56,0.4
0.562,0.4
0.5640000000000001,0.4
0.5660000000000001,0.4
0.5680000000000001,-0.1
0.5700000000000001,0.6
0.5720000000000001,0.4
0.5740000000000001,0.1
0.5760000000000001,0.1
0.578,0.6
0.58,0.6
0.582,0.3
0.584,0.4
0.586,0.7
0.588,0.5
0.59,0.8
0.592,1.3
0.594,1.4
0.596,1.1
0.598,1.5
0.6,1.5
0.602,1.1
0.604,1.2
0.606,1.4
0.608,1.2
0.61,1.7
0.612,1.8
0.614,1.6
0.616,1.5
0.618,2.6
0.62,2.7
0.622,2.1
0.624,2.1
0.626,2.4
0.628,1.9
0.63,2.5
0.632,2.8
0.634,2.9
0.636,3.5
0.638,4.1
0.64,3.8
0.642,3.7
0.644,3.2
0.646,3.0
0.648,3.6
0.65,3.8
0.652,4.0
0.654,4.1
0.656,4.6
0.658,4.9
0.66,5.0
0.662,4.9
0.664,4.9
0.666,4.6
0.668,4.4
0.67,4.6
0.672,4.6
0.674,4.4
0.676,4.4
0.678,4.5
0.68,4.7
0.682,4.5
0.684,4.6
0.686,4.4
0.6880000000000001,3.5
0.6900000000000001,3.6
0.6920000000000001,3.5
0.6940000000000001,3.3
0.6960000000000001,3.9
0.6980000000000001,4.0
0.7000000000000001,3.4
0.7020000000000001,2.6
0.704,2.3
0.706,1.5
0.708,1.5
0.71,1.8
0.712,1.0
0.714,0.9
0.716,1.7
0.718,1.3
0.72,0.9
0.722,0.5
0.724,0.5
0.726,0.1
0.728,0.1
0.73,0.1
0.732,-0.4
0.734,-0.5
0.736,0.5
0.738,0.4
0.74,0.0
0.742,-0.6
0.744,-0.1
0.746,-0.9
0.748,-0.8
0.75,-0.7
0.752,-0.6
0.754,-0.9
0.756,-0.4
0.758,-0.4
0.76,-0.4
0.762,-0.7
0.764,-0.6
0.766,-1.4
0.768,-0.9
0.77,-0.1
0.772,0.2
0.774,-0.5
0.776,-0.1
0.778,-0.4
0.78,-0.1
0.782,-1.0
0.784,-0.9
0.786,-1.3
0.788,-1.2
0.79,-0.8
0.792,-0.6
0.794,-0.9
0.796,-0.4
0.798,-0.4
0.8,-0.7
0.802,-0.9
0.804,-0.9
0.806,-1.3
0.808,-1.1
0.81,-0.7
0.812,-0.5
0.8140000000000001,-0.6
0.8160000000000001,-0.3
0.8180000000000001,-0.3
0.8200000000000001,-0.6
0.8220000000000001,-0.9
0.8240000000000001,-0.6
0.8260000000000001,-1.4
0.8280000000000001,-0.9
0.8300000000000001,-0.8
0.8320000000000001,-0.7
0.834,-1.1
0.836,0.0
0.838,-0.1
0.84,0.0
0.842,-0.5
0.844,-0.4
0.846,-1.1
0.848,-1.3
0.85,-1.1
0.852,-1.0
0.854,-1.0
0.856,0.0
0.858,0.1
0.86,0.5
0.862,-0.2
0.864,-0.7
0.866,-1.2
0.868,-1.0
0.87,-1.1
0.872,-1.2
0.874,-0.9
0.876,-0.1
0.878,-0.1
0.88,-0.4
0.882,-0.2
0.884,-0.3
0.886,-0.5
0.888,-0.6
0.89,-0.8
0.892,-0.4
0.894,-0.5
0.896,0.1
0.898,-0.1
0.9,-0.5
0.902,-0.5
0.904,-0.2
0.906,-0.7
0.908,-1.0
0.91,-0.4
0.912,-0.4
0.914,-0.2
0.916,-0.2
0.918,-0.8
0.92,-0.2
0.922,-0.4
0.924,-0.5
0.926,-0.9
0.928,0.0
0.93,-0.3
0.932,-0.8
0.934,-0.1
0.936,-0.1
0.9380000000000001,-0.6
0.9400000000000001,-1.1
0.9420000000000001,-0.9
0.9440000000000001,-0.8
0.9460000000000001,-0.8
0.9480000000000001,-0.7
0.9500000000000001,-0.4
0.9520000000000001,0.3
0.9540000000000001,0.3
0.9560000000000001,-0.1
0.9580000000000001,-0.3
0.96,-0.6
0.962,-1.1
0.964,-1.2
0.966,-0.9
0.968,-0.9
0.97,-0.1
0.972,-0.3
0.974,-0.1
0.976,-0.3
0.978,-0.6
0.98,-0.5
0.982,-0.9
0.984,-1.6
0.986,-1.7
0.988,-1.4
0.99,-0.6
0.992,-0.4
0.994,-0.4
0.996,-0.6
0.998,0.0
1.0,-0.2
1.002,-0.4
1.004,-1.1
1.006,-1.0
1.008,-0.5
1.01,-0.3
1.012,-0.4
1.014,0.1
1.016,0.1
1.018,-0.4
1.02,-0.4
1.022,-0.4
1.024,-1.1
1.026,-0.7
1.028,-0.2
1.03,-0.2
1.032,-0.6
1.034,-0.3
1.036,-0.3
1.038,-0.3
1.04,-0.7
1.042,-0.8
1.044,-0.9
1.046,-0.9
1.048,-0.6
1.05,-0.1
1.052,-0.8
1.054,-0.2
1.056,-0.3
1.058,-0.4
1.06,-0.4
1.062,-0.1
1.064,-0.5
1.066,-0.4
1.068,-0.3
1.07,-0.3
1.072,-0.6
1.074,-0.2
1.076,-0.3
1.078,-1.0
1.08,-0.9
1.082,0.1
1.084,-0.9
1.086,-0.3
1.088,0.1
1.09,0.5
1.092,0.1
1.094,0.2
1.096,0.4
1.098,0.1
1.1,-0.5
1.102,0.2
1.104,-0.2
1.106,0.5
1.108,0.7
1.11,0.7
1.112,-0.5
1.114,0.5
1.116,-0.2
1.118,-0.2
1.12,-0.2
1.122,0.4
1.124,-0.1
1.1260000000000001,0.4
1.1280000000000001,0.8
1.1300000000000001,0.3
1.1320000000000001,0.3
1.1340000000000001,0.7
1.1360000000000001,0.1
1.1380000000000001,-0.1
1.1400000000000001,-0.3
1.1420000000000001,0.2
1.1440000000000001,-0.2
1.1460000000000001,-0.4
1.1480000000000001,0.3
1.1500000000000001,0.4
1.1520000000000001,0.4
1.154,0.3
1.156,-0.1
1.158,-0.8
1.16,-0.8
1.162,-0.7
1.164,-0.8
1.166,-0.2
1.168,-0.2
1.17,0.0
1.172,0.0
1.174,0.2
1.176,-0.8
1.178,-0.9
1.18,-0.7
1.182,-0.6
1.184,-0.9
1.186,-0.8
1.188,0.0
1.19,0.1
1.192,0.0
1.194,0.0
1.196,-0.3
1.198,-0.4
1.2,0.0
1.202,0.4
1.204,-0.8
1.206,-1.2
1.208,-0.4
1.21,-0.4
1.212,-0.4
1.214,-0.4
1.216,-0.8
1.218,-1.4
1.22,-1.5
1.222,-2.1
1.224,-2.5
1.226,-2.4
1.228,-2.0
1.23,-1.5
1.232,0.2
1.234,2.2
1.236,3.7
1.238,5.0
1.24,6.3
1.242,7.8
1.244,8.5
1.246,9.1
1.248,9.0
1.25,7.8
1.252,5.9
1.254,6.9
1.256,6.4
1.258,5.2
1.26,3.7
1.262,1.1
1.264,-2.2
1.266,-3.4
1.268,-2.7
1.27,-2.9
1.272,-2.5
1.274,-2.2
1.276,-2.4
1.278,-2.1
1.28,-2.2
1.282,-2.1
1.284,-1.9
1.286,-1.5
1.288,-1.1
1.29,-0.8
1.292,-0.4
1.294,-0.5
1.296,-0.3
1.298,-0.7
1.3,0.1
1.302,-0.4
1.304,-0.3
1.306,-0.6
1.308,-0.2
1.31,-0.4
1.312,0.3
1.314,0.3
1.316,0.1
1.318,-0.2
1.32,0.1
1.322,-0.4
1.324,-1.0
1.326,0.0
1.328,0.4
1.33,0.3
1.332,0.8
1.334,0.8
1.336,0.8
1.338,0.1
1.34,0.3
1.342,0.0
1.344,0.0
1.346,0.3
1.348,0.4
1.35,-0.1
